 ,CODIGO,NOMBRE,PRECIO MERCADO LIBRE,PRECIO MERCADO,VENTA ELEVAPARTES,ESTADO,NOTIFICACION ENVIADA,ADVERTENCIA STOCK,MINIMO STOCK,ENTRADA,SALIDA,STOCK,marzo 2023,abril 2023,mayo 2023,junio 2023,julio 2023,agosto 2023,septiembre 2023,octubre 2023,noviembre 2023,diciembre 2023,enero 2024,febrero 2024,marzo 2024,abril 2024,mayo 2024,junio 2024,julio 2024,agosto 2024,septiembre 2024,octubre 2024,noviembre 2024,diciembre 2024,enero 2025,febrero 2025,marzo 2025,abril 2025,mayo 2025,junio 2025,julio 2025,agosto 2025,septiembre 2025,octubre 2025,noviembre 2025,diciembre 2025
,,9850,,"98,50%","1,50%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75000,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"74062,5",,"98,75%","1,25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"937,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75000,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"72937,5",,"97,25%","2,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2062,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
